NEW BEDFORD,PLEASANT,,06/25/14,3,
NEW BEDFORD,518 PURCHASE,,06/25/14,3,
NEW BEDFORD,27 S-SIXTH,,06/25/14,3,
NEW BEDFORD,37 S-SIXTH,,06/25/14,3,
NEW BEDFORD,18 WING,,06/25/14,3,
NEW BEDFORD,24 WING,,06/25/14,3,
NEW BEDFORD,WING,,06/25/14,3,
WORCESTER,45 WHIPPLE,,06/25/14,3,
NEW BEDFORD,140-142 BROWNELL,,06/24/14,3,
NEW BEDFORD,112 COTTAGE,,06/24/14,3,
NEW BEDFORD,329 HAWTHORN,,06/24/14,3,
NEW BEDFORD,98 MADISON,,06/24/14,3,
NEW BEDFORD,33 MAPLE,,06/24/14,3,
NEW BEDFORD,MAPLE,,06/24/14,3,
NEW BEDFORD,51 SEVENTH,,06/24/14,3,
NEW BEDFORD,SEVENTH,,06/24/14,3,
NEW BEDFORD,403-405 W-CLINTON,,06/24/14,3,
NEW BEDFORD,W-CLINTON,,06/24/14,3,
NEW BEDFORD,242 WALNUT,,06/24/14,3,
NEW BEDFORD,245 WALNUT,,06/24/14,3,
NEW BEDFORD,258 WALNUT,,06/24/14,3,
DARTMOUTH,COVE,,06/23/14,3,
NEW BEDFORD,478 BEDFORD,,06/23/14,3,
NEW BEDFORD,478 BEDFORD,,06/23/14,3,
NEW BEDFORD,17 ORCHARD,,06/23/14,3,
NEW BEDFORD,S-SIXTH,,06/23/14,3,
NEW BEDFORD,93 SPRING,@ 7TH STREET,06/23/14,3,
WORCESTER,FAIRFIELD,@ ENFIELD STREET,06/23/14,3,
NEW BEDFORD,JAMES,,06/20/14,3,
NEW BEDFORD,46 JONATHAN,,06/20/14,3,
NEW BEDFORD,CAMPBELL,,06/19/14,3,
NEW BEDFORD,CAMPBELL,,06/19/14,3,
NEW BEDFORD,CAMPBELL,,06/19/14,3,
NEW BEDFORD,638 COUNTY,,06/19/14,3,
NEW BEDFORD,670 COUNTY,,06/19/14,3,
NEW BEDFORD,COUNTY,,06/19/14,3,
NEW BEDFORD,MAXFIELD,,06/19/14,3,
NEW BEDFORD,44 STATE,,06/19/14,3,
NEW BEDFORD,21 SYCAMORE,,06/19/14,3,
NEW BEDFORD,5 SYCAMORE,,06/19/14,3,
NEW BEDFORD,SYCAMORE,,06/19/14,3,
NEW BEDFORD,92 WALDEN,,06/19/14,3,
NEW BEDFORD,94 WALDEN,,06/19/14,3,
NEW BEDFORD,49 WILLIS,,06/19/14,3,
NEW BEDFORD,WILLIS,@ WASHINGTON AVENUE,06/19/14,3,
SOMERVILLE,85 CLARENDON,,06/19/14,3,
DARTMOUTH,39 COVE,,06/18/14,3,
NATICK,215 EVERETT,,06/18/14,3,
NEW BEDFORD,125 CAMPBELL,,06/18/14,3,
NEW BEDFORD,155-161 CAMPBELL,,06/18/14,3,
NEW BEDFORD,COTTAGE,,06/18/14,3,
NEW BEDFORD,125 HILLMAN,,06/18/14,3,
NEW BEDFORD,103 SMITH,,06/18/14,3,
NEW BEDFORD,89 SMITH,,06/18/14,3,
NEW BEDFORD,SYCAMORE,,06/18/14,3,
NEW BEDFORD,WILLIS,,06/18/14,3,
WORCESTER,399 SOUTHBRIDGE,,06/18/14,3,
HOPEDALE,PARK,@ NORTHROP STREET,06/17/14,2,
NEW BEDFORD,BROWNELL,,06/17/14,3,
NEW BEDFORD,COMMONWEALTH,@ HUNTINGTON AVENUE,06/17/14,3,
NEW BEDFORD,COMMONWEALTH,,06/17/14,3,
NEW BEDFORD,HUSSEY,,06/17/14,3,
NEW BEDFORD,950 KEMPTON,,06/17/14,3,
NEW BEDFORD,23 LONGWOOD,,06/17/14,3,
NEW BEDFORD,29 LONGWOOD,,06/17/14,3,
DARTMOUTH,925 ALLEN,,06/16/14,3,
DARTMOUTH,975 ALLEN,,06/16/14,3,
DARTMOUTH,ALLEN,@ SABLE AVENUE,06/16/14,3,
NEW BEDFORD,439 MAXFIELD,,06/16/14,3,
NEW BEDFORD,MAXFIELD,,06/16/14,3,
SOMERVILLE,48 CHERRY,,06/16/14,3,
HOLLISTON,245 ASHLAND,,06/13/14,3,
HOLLISTON,162 CEDAR,,06/13/14,3,
HOLLISTON,182 CEDAR,,06/13/14,3,
HOLLISTON,26 ROBIN-HILL,,06/13/14,3,
HOLLISTON,1450 WASHINGTON,,06/13/14,3,
HOLLISTON,1574 WASHINGTON,,06/13/14,3,
HOLLISTON,1657 WASHINGTON,,06/13/14,3,
HOLLISTON,43 WILKINS,,06/13/14,3,
HOLLISTON,66 WILKINS,,06/13/14,3,
NATICK,118 ROCKLAND,,06/13/14,3,
NATICK,123 UNION,,06/13/14,3,
NATICK,67 UNION,,06/13/14,3,
NEW BEDFORD,CEDAR,@ COLLINS STREET,06/13/14,3,
NEW BEDFORD,CHESTNUT,,06/13/14,3,
NEW BEDFORD,CHESTNUT,,06/13/14,3,
NEW BEDFORD,39 MAITLAND,,06/13/14,3,
NEW BEDFORD,51 PARKER,,06/13/14,3,
NEW BEDFORD,PARKER,,06/13/14,3,
SOMERVILLE,18 BENTON,,06/13/14,3,
